cat_name,cat_url,sub_cat_name,sub_cat_url
business_service,https://www.kaidee.com/c45-business_service/,บริการเกี่ยวกับแม่และเด็ก,https://www.kaidee.com/c257-business_service-nursery/
business_service,https://www.kaidee.com/c45-business_service/,บัญชี กฎหมาย,https://www.kaidee.com/c258-business_service-accounting_lawyer_translation/
business_service,https://www.kaidee.com/c45-business_service/,ประกันภัย,https://www.kaidee.com/c259-business_service-finance_insurance/
business_service,https://www.kaidee.com/c45-business_service/,ขนส่ง ชิปปิ้ง,https://www.kaidee.com/c260-business_service-logistics_messenger/
business_service,https://www.kaidee.com/c45-business_service/,อีเว้นท์,https://www.kaidee.com/c44-business_service-event/
business_service,https://www.kaidee.com/c45-business_service/,ดูดวง,https://www.kaidee.com/c261-business_service-horoscope/
business_service,https://www.kaidee.com/c45-business_service/,บริการอื่น ๆ,https://www.kaidee.com/c262-business_service-other_service/
travel,https://www.kaidee.com/c9-travel/,ทัวร์ในประเทศ,https://www.kaidee.com/c50-travel-tour_thai/
travel,https://www.kaidee.com/c9-travel/,ทัวร์ต่างประเทศ,https://www.kaidee.com/c51-travel-tour_abroad/
travel,https://www.kaidee.com/c9-travel/,ที่พัก,https://www.kaidee.com/c52-travel-hotel_resort/
travel,https://www.kaidee.com/c9-travel/,ตั๋วเดินทาง,https://www.kaidee.com/c55-travel-ticket/
travel,https://www.kaidee.com/c9-travel/,อุปกรณ์ท่องเที่ยว,https://www.kaidee.com/c117-travel-travel_accessories/
travel,https://www.kaidee.com/c9-travel/,บริการ เดินทาง,https://www.kaidee.com/c56-travel-other_service/
travel,https://www.kaidee.com/c9-travel/,ร้านอาหาร,https://www.kaidee.com/c54-travel-restaurant/
education,https://www.kaidee.com/c8-education/,กวดวิชา,https://www.kaidee.com/c46-education-tutor/
education,https://www.kaidee.com/c8-education/,สอนภาษา,https://www.kaidee.com/c47-education-language_tutoring/
education,https://www.kaidee.com/c8-education/,อบรม,https://www.kaidee.com/c48-education-training/
education,https://www.kaidee.com/c8-education/,เรียนต่อต่างประเทศ,https://www.kaidee.com/c49-education-study_abroad/
education,https://www.kaidee.com/c8-education/,อุปกรณ์การเรียนการสอน,https://www.kaidee.com/c102-education-media_education/
education,https://www.kaidee.com/c8-education/,หนังสือเรียน,https://www.kaidee.com/c297-education-text_book/
donation,https://www.kaidee.com/c283-donation/,บริจาคเสื้อผ้า,https://www.kaidee.com/c284-donation-clothing/
donation,https://www.kaidee.com/c283-donation/,บริจาคเครื่องใช้ไฟฟ้า,https://www.kaidee.com/c285-donation-electronic/
donation,https://www.kaidee.com/c283-donation/,บริจาคเฟอร์นิเจอร์,https://www.kaidee.com/c286-donation-furniture/
donation,https://www.kaidee.com/c283-donation/,บริจาคอื่น ๆ,https://www.kaidee.com/c287-donation-other_donation/
