sub_cat_name,page,condition,listing_name,listing_price,listing_url,listing_region,listing_locality,listing_lat,listing_lon
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากอนามัย n95,55,https://www.kaidee.com/product-344842647,สมุทรปราการ,บางพลี,13.6058333,100.7061111
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,ผ้าปิดจมูก ป้องกันฝุ่นขนาดเล็ก รองรับ pm2.5,35,https://www.kaidee.com/product-344790225,กรุงเทพมหานคร,ยานนาวา,13.6969444,100.5430556
อุปกรณ์เกี่ยวกับสุขภาพ,5,1,หน้ากากกันฝุ่น,10,https://www.kaidee.com/product-344790597,กรุงเทพมหานคร,บางแค,13.7061328,100.4060836
อุปกรณ์เกี่ยวกับสุขภาพ,5,2,เครื่องนวดขา,1000,https://www.kaidee.com/product-344812266,กรุงเทพมหานคร,ประเวศ,13.7169444,100.6944444
อุปกรณ์เกี่ยวกับสุขภาพ,5,2,เครื่องนวดอินฟาเรด,690,https://www.kaidee.com/product-344764045,ชลบุรี,เมืองชลบุรี,13.3619444,100.9791667
อุปกรณ์เกี่ยวกับสุขภาพ,5,2,เหยือกกรองน้ำ japan,250,https://www.kaidee.com/product-344810679,นนทบุรี,บางกรวย,13.805,100.4727778
อุปกรณ์เกี่ยวกับสุขภาพ,5,2,ขายอุปกรณ์เสริมสวยทั้งชุดถูกๆ,16000,https://www.kaidee.com/product-344809144,กรุงเทพมหานคร,ทุ่งครุ,13.6332855,100.4958678
อุปกรณ์เกี่ยวกับสุขภาพ,5,2,เครื่องกรองน้ำอัลคาไลน์(น้ำด่าง)ตรา mannature,12500,https://www.kaidee.com/product-344807330,กรุงเทพมหานคร,ทุ่งครุ,13.6332855,100.4958678
อุปกรณ์เกี่ยวกับสุขภาพ,5,2,ขายเครื่อง cpap ยี่ห้อ resmed รุ่น airsense 10 autoset  ยี่ห้อ ,45000,https://www.kaidee.com/product-344758074,ปทุมธานี,เมืองปทุมธานี,14.0197222,100.535
อุปกรณ์เกี่ยวกับสุขภาพ,5,2,เตียงผู้ป่วยไฟฟ้าและมือหมุน,35000,https://www.kaidee.com/product-344758939,ปทุมธานี,ลำลูกกา,13.9325,100.7494444
